eid,age,gender,maritalstatus,department,jobrole,education,environmentsatisfaction,jobinvolvement,joblevel,jobsatisfaction,Annualincome,relationshipsatisfaction,workinghrsperday,totalworkingyearsexperience,TrainingTime,WorkLifeBalance,BehaviourialCompetence,OntimeDelivery,TicketSolvingManagements,Projectevlaution,Workingfromhomeoroffice,Psychosocialindicators,overtime,attendance,effectedwithcorona,PercentSalaryHike,Netconnectivity,PerformanceRating
rcf851,39,m,married,Sales,Sales Executive,1,2,2,5,2,16,2,8,6,6,1,5,3,5,8,home,4,no,absent,yes,11,yes,4
udu006,26,f,married,Sales,Sales Executive,3,4,2,2,2,25,1,8,7,6,3,0,4,5,6,home,2,no,absent,yes,11,no,1
xuQ438,45,f,married,Sales,Sales Executive,3,2,2,1,1,12,1,8,20,3,4,5,2,5,4,home,4,yes,absent,yes,4,yes,3
Mbb339,28,m,single,Development,Developer,1,2,1,4,1,15,2,8,24,1,1,3,5,2,14,home,4,no,absent,no,15,yes,1
Rfh383,39,m,single,Development,Developer,4,3,2,4,2,20,2,8,2,6,1,5,3,2,11,home,4,yes,absent,no,6,no,4
Iuo856,39,f,married,Development,Developer,1,4,4,4,4,7,3,8,24,5,2,2,5,3,14,office,5,no,present,yes,4,no,1
dSt999,34,f,married,Sales,Sales Executive,5,3,1,1,1,17,3,8,20,6,3,2,4,3,4,home,3,yes,absent,yes,9,yes,4
huU032,25,m,single,Development,Developer,1,4,3,5,1,21,2,8,21,2,4,4,2,5,9,office,0,yes,present,no,9,yes,2
GZD875,42,m,married,Development,Developer,3,1,2,1,2,24,2,8,22,5,1,0,1,1,13,home,4,yes,absent,no,10,yes,3
lih518,28,f,married,Sales,Sales Executive,2,1,3,3,1,14,2,8,3,3,1,0,3,1,5,home,0,yes,present,no,7,no,2
LcJ233,29,f,married,Development,Developer,2,2,4,5,3,16,1,8,18,6,3,2,4,4,5,home,2,yes,absent,yes,14,yes,1
kqz886,49,f,married,Development,Developer,1,3,1,4,3,16,2,8,24,6,1,3,2,2,12,office,4,yes,present,no,12,no,1
zBE411,50,f,married,Development,Developer,3,2,4,1,3,5,4,8,12,4,4,3,4,1,14,home,1,yes,absent,no,1,yes,1
UFU526,46,m,single,Sales,Sales Representative,3,2,2,3,4,14,4,8,5,5,1,4,4,2,11,home,4,no,absent,no,1,no,1
IZj965,49,f,married,Development,Developer,4,4,1,2,2,21,4,8,17,4,4,1,3,4,10,office,2,no,present,yes,4,yes,3
rKj827,29,f,single,Sales,Sales Executive,4,4,1,4,4,5,4,8,9,1,3,0,4,5,6,home,5,yes,present,yes,3,no,3
fYf778,27,f,married,Development,Senior Developer,4,2,2,5,3,17,1,8,13,6,4,2,1,3,10,home,5,no,absent,yes,1,no,3
IiG495,27,m,married,Development,Senior Developer,4,4,1,5,3,25,3,8,14,6,1,1,3,4,11,home,1,no,present,yes,5,yes,2
Wuk459,50,f,married,Development,Developer,1,1,4,2,2,23,2,8,23,3,3,4,4,5,10,office,1,yes,absent,yes,11,yes,2
Ghu682,45,m,single,Development,Developer,3,1,4,1,1,24,1,8,12,3,1,4,1,1,8,office,2,yes,absent,no,8,yes,4
fyu369,43,f,single,Development,Developer,1,4,2,2,3,10,4,8,14,4,4,1,4,1,11,home,5,yes,absent,no,9,no,2
hHj215,49,m,single,Sales,Sales Executive,3,3,3,4,2,18,4,8,4,3,2,4,2,2,5,office,0,yes,present,yes,15,no,3
GVv473,45,f,married,Development,Developer,3,4,1,1,2,9,3,8,14,6,1,1,5,5,4,office,5,yes,absent,yes,12,yes,2
qhE286,47,m,married,Development,Developer,1,1,4,3,2,6,1,8,13,3,3,0,2,5,4,office,3,no,absent,no,4,yes,4
fYF178,47,m,married,Development,Senior Developer,1,2,2,2,3,21,2,8,9,5,1,2,5,5,6,home,4,yes,present,no,4,no,3
dvD638,46,m,married,Development,Senior Developer,2,3,4,2,3,12,2,8,2,5,4,2,2,4,10,home,5,no,present,no,5,no,4
mrw812,34,f,married,Development,Developer,2,2,3,1,4,20,3,8,16,5,1,4,1,2,7,office,1,no,absent,no,6,no,1
YQW588,32,m,single,Development,Developer,3,2,3,3,1,25,1,8,2,1,2,2,5,4,4,home,2,yes,absent,yes,6,no,4
pXi361,39,m,single,Human Resources,Human Resources,2,4,1,5,1,19,4,8,20,4,3,1,5,5,14,home,5,yes,present,no,7,yes,1
Fyd691,45,f,single,Development,Developer,5,4,2,1,4,25,3,8,5,2,2,0,5,4,11,home,1,no,present,yes,1,yes,3
KeK259,39,m,single,Development,Developer,3,1,2,3,3,25,4,8,1,3,2,5,3,5,10,office,5,yes,present,yes,10,yes,4
CuU686,27,m,married,Development,Developer,5,4,1,3,2,16,1,8,17,3,3,2,5,2,4,home,4,yes,present,yes,9,no,2
TuW647,43,f,married,Development,Developer,2,3,4,2,1,11,4,8,7,4,3,5,5,3,8,home,2,yes,present,yes,10,yes,2
PoN503,45,f,single,Development,Developer,4,2,2,1,4,10,4,8,6,2,3,0,1,5,8,home,3,yes,absent,no,15,yes,2
GhB956,47,m,married,Sales,Sales Executive,1,2,3,3,4,24,3,8,2,2,2,3,2,2,11,home,3,yes,present,yes,14,yes,4
KZJ588,25,f,single,Sales,Sales Executive,3,3,1,1,2,18,4,8,10,3,4,5,5,4,12,home,0,yes,absent,no,5,yes,2
zik431,33,f,single,Development,Developer,1,2,2,5,1,19,1,8,20,1,1,5,3,2,5,home,0,no,present,no,7,yes,1
tws782,31,m,married,Development,Developer,5,2,3,2,1,21,3,8,15,4,2,2,4,1,14,office,4,yes,present,no,12,no,1
OxN781,49,f,single,Development,Developer,4,1,1,5,1,11,2,8,18,5,2,2,1,3,11,office,0,no,absent,no,3,yes,4
Idi899,47,f,single,Sales,Sales Executive,4,2,3,4,2,11,1,8,24,4,4,0,4,2,6,office,3,yes,absent,yes,15,no,4
njn164,25,m,single,Development,Developer,5,4,4,4,1,16,1,8,18,1,1,5,5,5,11,office,0,yes,present,yes,5,yes,4
tCi646,48,m,married,Development,Developer,3,1,3,5,1,17,2,8,16,1,2,2,3,5,14,home,4,no,present,no,10,no,2
JWX523,47,m,single,Sales,Manager,1,3,3,2,3,25,1,8,12,4,1,3,4,2,14,home,2,no,absent,yes,10,yes,2
Mqs026,30,f,married,Development,Developer,5,4,3,3,1,22,3,8,17,2,1,2,3,2,11,office,2,no,present,yes,8,no,1
OqT334,44,f,single,Development,Developer,5,4,2,1,3,14,2,8,14,2,2,0,5,2,6,home,2,yes,present,no,14,no,4
hGL069,49,f,married,Development,Senior Developer,1,4,4,4,3,25,4,8,5,6,1,2,1,2,8,office,5,no,absent,no,12,no,3
oFh246,49,f,single,Sales,Sales Executive,2,3,1,3,1,13,2,8,12,4,4,4,3,3,4,home,0,yes,present,yes,5,no,1
ylU409,42,m,single,Sales,Sales Executive,4,2,3,4,2,12,2,8,7,4,1,2,1,4,4,office,0,no,present,yes,2,no,4
uxL201,40,m,single,Sales,Sales Executive,1,4,3,5,4,16,1,8,22,2,2,5,1,1,7,home,1,yes,absent,yes,2,yes,3
IyP213,45,m,single,Development,Developer,1,3,3,1,2,25,2,8,17,6,2,2,1,2,12,home,0,no,present,yes,10,yes,4
EFR230,49,m,single,Sales,Sales Executive,4,3,4,1,1,14,3,8,14,4,2,5,2,2,14,office,3,no,present,yes,10,no,4
dEB355,25,m,single,Human Resources,Human Resources,3,2,3,3,2,21,2,8,13,4,4,2,2,5,4,office,5,no,absent,no,5,yes,4
LbE823,34,m,single,Development,Senior Developer,2,3,3,5,2,17,1,8,23,4,3,1,5,5,4,home,0,no,present,no,4,yes,1
mhK089,36,f,married,Development,Developer,3,2,3,4,1,7,2,8,4,4,1,4,3,5,9,home,1,no,absent,no,1,no,3
jnw869,40,m,single,Development,Senior Developer,2,3,1,5,1,12,4,8,9,6,4,4,3,5,5,home,0,yes,absent,no,9,no,1
cwe233,28,m,married,Human Resources,Human Resources,1,4,4,1,1,22,4,8,24,4,2,1,5,1,6,office,1,no,absent,yes,13,no,2
PLS382,37,f,married,Sales,Sales Executive,1,1,1,5,4,23,2,8,24,3,3,2,1,5,14,office,3,no,absent,no,11,no,2
LVe583,41,m,single,Development,Developer,5,3,4,1,2,23,2,8,18,6,3,5,2,3,11,office,0,no,absent,no,12,no,4
Leu227,38,m,married,Development,Developer,4,3,2,2,3,25,3,8,9,1,3,1,1,1,9,home,1,no,present,no,1,no,1
ozG802,34,m,single,Data Science,Data Scientist,1,3,2,1,2,12,4,8,6,1,4,5,4,4,6,home,4,yes,absent,no,13,no,4
rOq466,49,m,married,Development,Senior Developer,5,1,2,3,2,14,4,8,14,1,1,4,3,1,14,home,5,no,present,yes,7,yes,4
nab327,50,m,married,Sales,Sales Executive,2,2,4,5,4,15,4,8,15,1,4,0,3,3,8,home,1,no,present,yes,7,yes,3
XqE253,29,m,married,Sales,Sales Representative,8,-4,3,4,1,20,1,8,12,4,4,1,3,1,13,office,3,yes,absent,no,8,yes,3
jYO382,27,m,married,Development,Senior Developer,4,3,1,1,2,13,2,8,20,6,2,1,4,4,8,home,5,yes,present,yes,5,yes,3
ajT849,44,m,married,Sales,Sales Executive,4,2,4,4,4,20,3,8,7,6,4,3,4,1,11,home,2,no,present,yes,13,no,1
rYA205,37,m,single,Sales,Sales Representative,1,2,1,2,4,9,4,8,24,4,3,0,4,5,9,office,1,yes,absent,no,9,no,1
ZOv267,28,f,married,Development,Developer,5,3,4,4,4,23,4,8,1,6,1,2,2,1,9,office,1,no,absent,yes,12,no,4
Sij802,45,f,married,Development,Developer,5,2,4,1,2,7,2,8,2,5,3,2,1,3,11,home,3,no,present,no,6,yes,4
Tnu421,32,f,single,Sales,Sales Executive,1,3,3,5,2,18,2,8,3,1,3,1,1,5,13,home,2,yes,present,yes,16,no,4
HUT657,50,f,single,Sales,Sales Executive,3,3,3,1,1,5,4,8,24,4,4,3,5,5,5,office,0,no,present,no,3,no,1
fNa296,41,m,single,Development,Developer,5,4,3,3,3,14,3,8,14,5,4,3,1,4,4,home,1,yes,absent,no,7,no,1
Ulc454,30,m,married,Human Resources,Human Resources,1,4,4,3,4,19,4,8,16,4,4,2,2,5,8,office,5,no,present,no,3,no,2
HGy729,44,m,married,Human Resources,Human Resources,3,2,2,5,2,18,1,8,25,3,2,4,3,3,7,office,1,no,present,yes,3,yes,3
eRz570,27,m,single,Development,Developer,1,4,2,5,2,11,2,8,15,1,4,5,3,2,6,home,5,no,present,yes,13,no,3
Kxb014,25,f,single,Development,Developer,1,3,2,3,4,18,1,8,12,1,2,5,1,3,14,home,5,yes,present,no,6,no,4
iAs129,50,m,married,Development,Developer,5,4,4,1,2,9,1,8,20,4,3,2,2,5,7,office,0,no,absent,no,4,no,2
lFh546,42,m,single,Sales,Sales Representative,5,1,2,4,2,14,2,8,23,6,2,4,1,2,5,home,0,yes,absent,yes,7,yes,2
CVK734,37,f,single,Data Science,Data Scientist,1,3,2,4,3,23,2,8,12,4,3,0,3,1,6,office,1,yes,absent,yes,15,yes,2
jzJ140,50,m,single,Data Science,Data Scientist,1,1,2,1,4,18,1,8,4,4,2,3,1,5,4,home,1,yes,present,no,15,no,4
PHx360,28,f,single,Sales,Sales Representative,1,3,2,4,1,19,4,8,1,1,2,4,3,2,8,office,0,yes,present,yes,6,no,4
vYO021,45,m,married,Development,Developer,5,4,1,1,4,19,4,8,22,3,1,0,3,1,7,office,0,yes,present,no,9,yes,3
MDw702,35,f,single,Development,Developer,1,1,1,1,3,16,3,8,2,3,3,1,5,2,14,home,2,no,present,no,1,yes,3
gFy363,32,f,married,Development,Senior Developer,5,3,1,2,1,8,2,8,13,1,1,5,3,4,13,office,1,yes,absent,no,3,yes,3
UeX724,32,f,single,Development,Developer,4,2,3,4,1,7,3,8,24,3,1,1,4,1,5,home,3,yes,present,yes,10,yes,4
TrO616,29,f,single,Development,Developer,2,4,2,1,2,16,4,8,12,1,3,4,4,1,11,home,5,no,present,yes,14,yes,1
thJ291,49,f,single,Sales,Sales Executive,3,3,3,5,4,24,3,8,20,5,1,0,3,5,6,home,1,yes,present,no,10,yes,4
BAb912,38,f,single,Development,Senior Developer,1,4,3,1,2,15,2,8,15,3,2,0,2,1,8,office,2,yes,present,yes,8,yes,4
Mqj393,42,m,single,Development,Senior Developer,5,4,4,4,1,14,1,8,9,3,2,4,1,1,11,office,2,yes,present,yes,1,no,2
hQP796,48,m,married,Sales,Sales Representative,2,2,2,1,4,5,2,8,22,1,3,2,1,3,10,home,2,no,absent,yes,1,yes,4
AUg691,32,f,married,Development,Senior Developer,3,4,2,3,1,16,3,8,21,4,3,1,4,2,4,home,0,yes,absent,no,8,yes,1
gcd104,38,m,single,Data Science,Data Scientist,5,3,3,2,4,11,1,8,14,4,3,3,4,3,11,office,4,yes,absent,yes,11,no,1
oDS300,25,f,single,Sales,Sales Executive,5,3,2,3,3,22,1,8,5,6,1,0,5,5,8,home,4,no,absent,no,6,no,2
SOX947,26,m,single,Development,Developer,5,1,2,1,4,19,4,8,22,2,2,0,2,4,8,home,3,no,absent,yes,7,yes,4
Vlj961,33,m,married,Development,Senior Developer,3,2,3,5,1,24,4,8,6,1,4,4,5,5,5,office,3,no,present,yes,12,no,4
UCc711,34,m,married,Development,Senior Developer,3,1,4,1,2,20,4,8,11,6,1,1,1,1,7,office,0,no,present,no,16,yes,1
jhL756,44,m,single,Sales,Sales Representative,2,4,4,2,3,23,3,8,18,4,4,3,5,5,5,home,3,no,absent,no,8,no,1
WkO526,37,f,single,Development,Developer,5,4,2,3,2,20,1,8,21,6,1,5,2,4,12,office,5,yes,absent,no,16,no,4
hmc116,31,f,married,Development,Developer,3,3,3,2,1,8,1,8,7,2,2,2,2,5,11,office,5,yes,present,no,2,no,4
zYh066,41,m,single,Sales,Sales Representative,4,4,3,4,1,23,3,8,23,2,2,5,1,5,13,home,5,yes,present,yes,8,no,1
TYl666,27,f,single,Development,Developer,3,2,2,2,2,16,2,8,25,2,1,0,3,2,6,home,4,yes,present,yes,8,no,1
bJE042,44,f,single,Development,Developer,4,1,2,2,1,9,1,8,16,3,2,3,1,1,6,home,3,no,present,yes,15,yes,2
GCx688,50,m,married,Sales,Sales Executive,3,4,2,1,2,21,1,8,6,6,3,5,4,5,14,office,0,no,present,no,14,yes,1
Fnd953,44,m,married,Sales,Sales Executive,2,3,2,2,4,7,2,8,12,4,3,2,3,5,11,office,4,no,present,no,15,yes,2
lkP042,34,f,single,Development,Developer,4,2,4,5,1,16,1,8,19,6,1,5,5,5,12,office,3,yes,absent,no,15,yes,1
hJs141,25,m,married,Sales,Sales Representative,1,4,2,4,3,7,3,8,2,4,3,3,3,2,6,home,3,yes,present,yes,4,no,4
UWg294,42,f,married,Sales,Sales Executive,2,4,3,1,4,20,2,8,12,6,3,3,3,5,14,office,5,no,absent,yes,16,yes,1
ySW745,40,f,married,Development,Senior Developer,5,2,4,2,3,15,2,8,7,4,4,5,4,3,10,office,1,no,present,no,14,no,2
Ufh873,25,f,married,Sales,Manager,4,3,2,4,2,16,2,8,1,5,1,1,2,3,12,office,0,no,present,no,5,yes,4
uWP788,35,m,single,Sales,Sales Executive,5,1,3,2,3,17,2,8,22,3,3,0,3,5,10,home,4,yes,present,no,14,no,4
szh004,30,m,married,Sales,Sales Executive,5,3,1,4,4,23,1,8,24,5,2,5,1,2,12,office,1,no,absent,no,6,yes,2
rQi088,37,f,single,Sales,Sales Executive,5,1,1,4,2,10,3,8,1,4,2,4,3,4,8,office,4,no,present,yes,13,yes,3
Kpw076,38,m,married,Sales,Sales Executive,2,3,2,2,3,10,2,8,19,2,4,3,4,1,8,office,2,yes,present,yes,14,yes,4
ZQg534,28,f,single,Development,Senior Developer,3,3,3,5,2,17,3,8,22,5,4,0,2,1,14,home,4,yes,absent,no,2,yes,4
YHY939,33,m,married,Sales,Sales Executive,5,1,4,3,2,17,3,8,9,2,2,1,2,3,11,home,4,yes,present,yes,8,no,4
JeU666,27,m,married,Development,Developer,5,4,4,3,3,7,4,8,7,6,1,4,4,5,6,home,5,no,present,no,1,no,2
BBF785,44,f,single,Sales,Manager,3,3,4,2,4,8,3,8,24,5,1,3,5,5,14,office,1,yes,present,no,12,yes,3
ZBn330,37,m,single,Development,Developer,2,2,4,2,4,19,1,8,9,6,2,4,2,4,7,office,5,no,absent,yes,10,yes,1
Fkq999,36,f,single,Development,Developer,5,1,3,2,2,16,1,8,15,6,2,4,3,4,9,office,2,no,present,no,11,yes,4
HGp671,36,m,married,Development,Developer,4,3,1,5,1,21,4,8,24,1,3,4,2,3,9,home,3,yes,present,no,2,yes,1
vzj367,29,f,single,Development,Senior Developer,5,1,1,4,4,23,2,8,10,1,3,0,3,4,7,office,4,no,absent,yes,14,yes,2
ejZ495,42,f,married,Development,Developer,5,3,3,5,1,13,1,8,2,4,3,0,5,4,13,office,3,yes,absent,no,5,no,2
Tej258,42,m,single,Development,Developer,4,1,1,1,4,14,2,8,5,3,4,3,2,2,14,home,5,yes,absent,no,1,yes,3
JJG678,44,m,single,Development,Developer,2,1,2,3,3,11,1,8,5,3,4,3,4,4,9,office,3,no,present,yes,11,no,3
OVr886,46,f,married,Sales,Sales Executive,5,4,2,1,3,8,1,8,11,3,1,3,3,2,10,home,1,yes,absent,yes,16,no,3
rqN428,26,m,married,Development,Developer,2,4,3,1,4,14,3,8,8,4,2,2,4,5,5,office,4,no,absent,no,5,yes,2
Jzu102,46,m,married,Development,Developer,2,3,2,3,2,22,3,8,22,5,3,5,2,2,8,office,5,no,present,no,3,yes,2
igZ369,46,f,single,Research & Development,Senior Manager R&D,1,1,1,5,2,10,3,8,25,1,2,5,3,4,10,office,2,no,present,no,1,yes,1
aGM089,26,f,married,Research & Development,Laboratory Technician,2,4,1,5,2,25,4,8,8,1,4,2,2,3,9,office,0,yes,present,no,13,yes,3
cHx573,28,m,married,Research & Development,Manufacturing Director,4,2,2,5,1,23,4,8,20,3,2,5,3,3,6,home,5,yes,absent,yes,14,no,1
Fwm380,46,m,married,Research & Development,Research Scientist,4,1,1,3,3,25,3,8,10,4,1,0,5,2,13,office,2,no,present,no,13,yes,4
KLp772,40,f,married,Research & Development,Senior Manager R&D,5,4,3,2,4,6,2,8,23,3,1,2,2,1,11,office,5,yes,absent,yes,5,yes,3
Pia712,34,m,single,Research & Development,Healthcare Representative,1,2,4,5,4,15,4,8,20,2,3,1,3,3,4,office,3,yes,present,no,10,yes,3
vCr201,32,m,single,Research & Development,Research Director,5,4,1,5,1,7,3,8,3,5,3,0,4,5,10,office,3,yes,present,yes,7,yes,1
DoU801,25,m,single,Research & Development,Senior Manager R&D,3,4,2,2,3,5,2,8,19,5,3,5,4,2,6,home,3,no,present,no,2,no,2
Pab581,49,f,married,Research & Development,Laboratory Technician,4,2,4,5,4,13,3,8,1,6,1,5,3,3,13,office,5,yes,present,no,16,no,4
MEu499,50,m,married,Research & Development,Healthcare Representative,1,1,2,1,2,25,2,8,12,1,1,0,2,5,13,home,5,no,present,yes,5,yes,4
iVO530,37,m,married,Research & Development,Senior Manager R&D,1,3,3,3,3,8,2,8,11,4,1,2,2,2,5,office,2,yes,present,no,16,yes,2
fJf283,39,f,married,Research & Development,Manufacturing Director,3,3,3,1,2,24,4,8,7,1,3,4,3,5,5,office,4,no,present,yes,4,no,2
nwg866,50,f,married,Research & Development,Manufacturing Director,5,3,2,3,4,12,1,8,20,6,2,0,1,4,13,office,2,no,present,yes,11,no,3
lud798,28,f,single,Research & Development,Senior Manager R&D,2,3,1,1,4,18,3,8,13,3,1,5,1,3,11,office,1,no,absent,no,1,yes,4
qNb287,36,m,single,Research & Development,Laboratory Technician,4,1,3,1,4,20,1,8,17,1,3,2,2,1,9,home,5,yes,absent,yes,2,yes,4
Cnz788,41,m,married,Sales,Manager,1,2,3,4,4,5,1,8,5,5,1,4,1,4,10,office,3,no,absent,no,4,no,4
eXG439,35,f,single,Research & Development,Laboratory Technician,3,1,2,3,2,8,4,8,8,6,3,3,1,4,11,office,3,yes,absent,yes,2,yes,2
xDN401,50,m,married,Research & Development,Manufacturing Director,3,2,2,2,2,17,4,8,7,5,3,4,4,4,7,home,0,no,absent,no,2,no,2
hXB063,41,m,married,Research & Development,Healthcare Representative,5,4,2,1,2,13,1,8,12,1,1,0,1,5,6,office,3,yes,present,yes,15,yes,2
WGl031,41,m,single,Research & Development,Research Director,1,2,2,2,3,22,4,8,8,4,2,5,1,1,7,home,5,yes,present,no,9,no,2
hVt618,35,m,married,Sales,Sales Executive,2,2,4,2,1,24,4,8,9,5,4,4,5,2,14,home,5,yes,present,yes,15,yes,3
qtJ845,42,m,married,Sales,Sales Executive,5,1,1,1,4,21,4,8,8,2,2,0,3,1,9,home,2,no,absent,yes,3,no,4
PAP322,48,m,married,Sales,Manager,1,1,2,4,2,10,4,8,17,1,2,2,1,2,5,office,2,no,absent,yes,3,yes,3
oqW583,30,m,married,Sales,Sales Executive,2,1,4,3,3,21,1,8,11,1,2,2,1,2,14,office,1,no,present,yes,10,yes,2
DXo113,26,f,single,Sales,Sales Executive,5,1,3,2,3,19,4,8,5,4,2,3,3,4,5,office,1,yes,absent,no,7,yes,2
zTa940,47,f,married,Research & Development,Manufacturing Director,2,2,3,2,4,23,2,8,22,1,1,1,5,4,4,office,0,yes,absent,yes,10,no,3
rkS575,32,m,married,Sales,Sales Representative,1,2,4,3,2,11,4,8,20,4,2,2,4,5,13,office,1,no,present,no,6,yes,3
SKn941,43,f,married,Sales,Manager,1,1,2,2,1,9,3,8,1,4,3,4,1,2,7,home,4,yes,absent,no,8,no,3
pnc140,25,f,married,Research & Development,Senior Manager R&D,4,1,4,4,2,21,3,8,14,4,1,1,2,5,4,office,3,no,present,yes,7,no,3
bGr086,32,f,married,Sales,Sales Executive,2,2,3,1,1,25,1,8,2,4,3,1,1,3,11,home,2,no,present,no,7,no,1
hwD354,30,m,married,Sales,Manager,5,2,3,2,4,14,1,8,15,1,1,3,1,5,12,office,3,yes,absent,no,9,yes,4
Unr711,33,m,single,Human Resources,Human Resources,1,4,3,4,3,6,4,8,13,3,1,4,2,2,9,home,4,no,absent,no,5,no,1
QlK018,39,f,married,Research & Development,Laboratory Technician,4,4,2,4,1,18,3,8,1,3,3,4,1,5,10,office,0,yes,absent,no,4,yes,1
ahX255,39,f,married,Research & Development,Research Scientist,2,3,4,1,2,5,2,8,16,2,1,5,1,1,5,office,4,yes,absent,no,10,yes,4
KUx797,30,m,married,Sales,Sales Representative,1,4,4,1,1,12,1,8,5,5,3,0,2,2,11,office,5,yes,absent,yes,15,no,1
cqS999,27,f,married,Research & Development,Senior Manager R&D,2,3,2,1,1,25,1,8,11,2,1,4,5,4,13,office,5,yes,absent,no,5,no,3
QUV921,36,m,single,Research & Development,Senior Manager R&D,1,1,4,3,2,24,2,8,22,6,3,3,2,5,14,home,1,no,present,yes,2,yes,3
FHl016,45,m,married,Research & Development,Healthcare Representative,2,4,1,3,2,20,4,8,3,4,3,1,4,1,10,office,4,yes,absent,yes,8,no,1
biq330,26,m,single,Sales,Sales Executive,2,1,4,2,2,13,4,8,7,4,4,1,4,5,4,office,4,no,absent,yes,13,yes,3
SVa910,32,m,married,Research & Development,Research Scientist,4,3,3,5,2,23,1,8,9,5,2,5,3,3,7,office,0,no,absent,yes,1,yes,4
